URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1213CAT1,T1314CAT1,T1415CAT1,DCAT1,T1112CAT2,T1213CAT2,T1314CAT2,T1415CAT2,DCAT2,T1112CAT3,T1213CAT3,T1314CAT3,T1415CAT3,DCAT3,T1112CAT4,T1213CAT4,T1314CAT4,T1415CAT4,DCAT4,T1112CAT5,T1213CAT5,T1314CAT5,T1415CAT5,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTOTALINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PTOTALEXPENDITURE,PT1112CAT1,PT1213CAT1,PT1314CAT1,PT1415CAT1,PDCAT1,PT1112CAT2,PT1213CAT2,PT1314CAT2,PT1415CAT2,PDCAT2,PT1112CAT3,PT1213CAT3,PT1314CAT3,PT1415CAT3,PDCAT3,PT1112CAT4,PT1213CAT4,PT1314CAT4,PT1415CAT4,PDCAT4,PT1112CAT5,PT1213CAT5,PT1314CAT5,PT1415CAT5,PDCAT5,T1112CAT1LA,T1213CAT1LA,T1314CAT1LA,T1415CAT1LA,T1112CAT2LA,T1213CAT2LA,T1314CAT2LA,T1415CAT2LA,T1112CAT3LA,T1213CAT3LA,T1314CAT3LA,T1415CAT3LA,T1112CAT4LA,T1213CAT4LA,T1314CAT4LA,T1415CAT4LA,T1112CAT5LA,T1213CAT5LA,T1314CAT5LA,T1415CAT5LA,PT1112CAT1LA,PT1213CAT1LA,PT1314CAT1LA,PT1415CAT1LA,PT1112CAT2LA,PT1213CAT2LA,PT1314CAT2LA,PT1415CAT2LA,PT1112CAT3LA,PT1213CAT3LA,PT1314CAT3LA,PT1415CAT3LA,PT1112CAT4LA,PT1213CAT4LA,PT1314CAT4LA,PT1415CAT4LA,PT1112CAT5LA,PT1213CAT5LA,PT1314CAT5LA,PT1415CAT5LA
108910,Non-London,Primary,507,5.1,LOW,5801,148,5949,2909,131,840,340,527,152,142,71,256,29,31,128,5556,2721,2649,2555,3749,1028,93,116,101,131,38,373,346,365,527,154,56,86,72,71,15,4246,4041,3723,5556,1310,98%,2%,,52%,2%,15%,6%,9%,3%,3%,1%,5%,1%,1%,2%,,64%,66%,69%,67%,3%,2%,3%,3%,2%,0%,9%,9%,10%,9%,0%,1%,2%,2%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108912,Non-London,Primary,541,5.5,LOW,3779,131,3910,1780,126,465,268,264,116,152,48,220,129,188,64,3819,2148,2279,2247,2245,97,165,208,144,126,-39,203,221,209,264,61,46,60,50,48,2,3373,3703,3412,3819,446,97%,3%,,47%,3%,12%,7%,7%,3%,4%,1%,6%,3%,5%,2%,,64%,62%,66%,59%,-5%,5%,6%,4%,3%,-2%,6%,6%,6%,7%,1%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108913,Non-London,Primary,199,12.1,LOW,4573,97,4670,1777,291,638,794,334,116,100,57,321,92,32,51,4601,2555,2541,2516,2415,-140,118,98,122,291,173,309,299,323,334,25,59,95,29,57,-2,3644,3737,3902,4601,957,98%,2%,,39%,6%,14%,17%,7%,3%,2%,1%,7%,2%,1%,1%,,70%,68%,64%,52%,-18%,3%,3%,3%,6%,3%,8%,8%,8%,7%,-1%,2%,3%,1%,1%,-1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108914,Non-London,Primary,284,20.4,MEDIUM,5175,91,5266,2268,114,1028,449,411,152,237,86,225,4,22,80,5075,2665,2780,3058,3296,631,121,120,138,114,-7,329,341,341,411,82,51,67,60,86,35,3951,4252,4538,5075,1124,98%,2%,,45%,2%,20%,9%,8%,3%,5%,2%,4%,0%,0%,2%,,67%,65%,67%,65%,-2%,3%,3%,3%,2%,-1%,8%,8%,8%,8%,0%,1%,2%,1%,2%,1%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108919,Non-London,Primary,200,23.5,MEDIUM,4832,78,4910,2284,82,467,393,574,69,124,94,177,105,2,51,4422,2637,2711,2505,2751,114,256,152,212,82,-174,491,438,549,574,83,95,120,93,94,-1,4569,4473,4134,4422,-147,98%,2%,,52%,2%,11%,9%,13%,2%,3%,2%,4%,2%,0%,1%,,58%,61%,61%,62%,4%,6%,3%,5%,2%,-4%,11%,10%,13%,13%,2%,2%,3%,2%,2%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108920,Non-London,Primary,232,16.8,LOW,4844,30,4874,2280,235,665,261,427,29,170,51,335,52,88,11,4604,2421,2524,2842,2945,524,165,223,324,235,70,335,535,419,427,92,46,51,51,51,5,3595,4176,4134,4604,1009,99%,1%,,50%,5%,14%,6%,9%,1%,4%,1%,7%,1%,2%,0%,,67%,60%,69%,64%,-3%,5%,5%,8%,5%,0%,9%,13%,10%,9%,0%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108921,Non-London,Primary,216,15.7,LOW,4960,57,5017,2274,238,788,246,453,195,262,47,127,31,11,86,4758,2569,2834,3000,3062,493,295,256,254,238,-57,266,353,382,453,187,43,50,49,47,4,3778,4211,4456,4758,980,99%,1%,,48%,5%,17%,5%,10%,4%,6%,1%,3%,1%,0%,2%,,68%,67%,67%,64%,-4%,8%,6%,6%,5%,-3%,7%,8%,9%,10%,3%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2599,2730,174,147,133,140,275,277,330,333,52,60,52,51,4106,4202,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108927,Non-London,Primary,341,27.6,MEDIUM,5756,189,5944,2230,64,1172,481,374,159,101,0,291,178,230,48,5327,2775,2910,2813,3402,627,255,352,245,64,-191,347,313,460,374,27,64,47,75,0,-64,4402,4525,4570,5327,925,97%,3%,,42%,1%,22%,9%,7%,3%,2%,0%,5%,3%,4%,1%,,63%,64%,62%,64%,1%,6%,8%,5%,1%,-5%,8%,7%,10%,7%,-1%,1%,1%,2%,0%,-1%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108931,Non-London,Primary,355,24.8,MEDIUM,5036,125,5161,2060,177,1120,388,340,116,234,68,280,22,120,43,4966,2743,2745,3032,3180,437,247,155,214,177,-70,275,272,272,340,65,50,51,34,68,18,4278,4090,4511,4966,688,98%,2%,,41%,4%,23%,8%,7%,2%,5%,1%,6%,0%,2%,1%,,64%,67%,67%,64%,0%,6%,4%,5%,4%,-2%,6%,7%,6%,7%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108934,Non-London,Primary,267,1.9,LOW,4171,216,4387,1856,144,747,354,325,231,187,68,156,27,32,40,4167,2478,2459,2538,2603,125,182,158,92,144,-38,231,226,286,325,94,46,77,77,68,22,3637,3625,3533,4167,530,95%,5%,,45%,3%,18%,8%,8%,6%,4%,2%,4%,1%,1%,1%,,68%,68%,72%,62%,-6%,5%,4%,3%,3%,-2%,6%,6%,8%,8%,2%,1%,2%,2%,2%,1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108944,Non-London,Primary,222,2.3,LOW,4089,136,4225,2135,136,585,253,277,77,161,63,168,15,37,28,3936,2416,2457,2486,2720,304,247,264,123,136,-111,253,231,230,277,24,52,74,67,63,11,3594,3761,3559,3936,342,97%,3%,,54%,3%,15%,6%,7%,2%,4%,2%,4%,0%,1%,1%,,67%,65%,SUPP,69%,2%,7%,7%,3%,3%,-4%,7%,6%,6%,7%,0%,1%,2%,2%,2%,1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108955,Non-London,Primary,193,19.2,LOW,3989,87,4075,1321,723,704,147,363,36,133,77,349,51,648,54,4607,2350,2486,3082,2025,-325,231,151,345,723,492,306,330,620,363,57,48,66,64,77,29,3658,3667,5043,4607,949,98%,2%,,29%,16%,15%,3%,8%,1%,3%,2%,8%,1%,14%,1%,,64%,68%,61%,44%,-20%,6%,4%,7%,16%,10%,8%,9%,12%,8%,0%,1%,2%,1%,2%,1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108956,Non-London,Primary,287,11.6,LOW,4517,66,4583,2017,74,921,290,446,180,194,75,102,21,22,46,4388,2775,2662,2985,2938,163,140,179,227,74,-66,360,358,462,446,86,42,45,58,75,33,3904,3870,4310,4388,484,99%,1%,,46%,2%,21%,7%,10%,4%,4%,2%,2%,0%,1%,1%,,71%,69%,69%,67%,-4%,4%,5%,5%,2%,-2%,9%,9%,11%,10%,1%,1%,1%,1%,2%,1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108960,Non-London,Primary,193,3.9,LOW,11062,382,11443,4746,579,1465,679,1023,183,226,147,398,154,434,135,10170,2676,3023,SUPP,6211,3535,192,232,187,579,387,330,460,369,1023,693,62,79,98,147,85,4002,4826,4267,10170,6168,97%,3%,,47%,6%,14%,7%,10%,2%,2%,1%,4%,2%,4%,1%,,67%,63%,SUPP,61%,-6%,5%,5%,4%,6%,1%,8%,10%,9%,10%,2%,2%,2%,2%,1%,-1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108964,Non-London,Primary,294,5.4,LOW,3805,156,3961,2069,114,662,328,304,124,74,12,230,16,19,54,4006,2705,2628,3009,2731,26,162,168,111,114,-48,283,318,338,304,21,47,56,50,12,-35,3986,3788,3960,4006,20,96%,4%,,52%,3%,17%,8%,8%,3%,2%,0%,6%,0%,0%,1%,,68%,69%,76%,68%,0%,4%,4%,3%,3%,-1%,7%,8%,9%,8%,1%,1%,1%,1%,0%,-1%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108966,Non-London,Primary,267,20.6,MEDIUM,4841,66,4907,2203,60,681,280,352,208,156,39,180,67,39,96,4361,2750,2630,2762,2884,134,78,142,75,60,-18,245,247,301,352,107,31,42,53,39,8,3954,3855,3983,4361,407,99%,1%,,51%,1%,16%,6%,8%,5%,4%,1%,4%,2%,1%,2%,,70%,68%,69%,66%,-4%,2%,4%,2%,1%,-1%,6%,6%,8%,8%,2%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108970,Non-London,Primary,177,42.4,HIGH,5486,35,5521,2598,234,661,408,452,202,150,60,384,120,175,56,5500,3168,3563,3493,3259,91,297,232,444,234,-63,321,329,417,452,131,61,64,66,60,-1,4879,5291,5730,5500,621,99%,1%,,47%,4%,12%,7%,8%,4%,3%,1%,7%,2%,3%,1%,,65%,67%,61%,59%,-6%,6%,4%,8%,4%,-2%,7%,6%,7%,8%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,3092,3142,3345,3299,214,232,222,234,327,333,426,537,71,80,73,68,4879,5094,5294,5790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108975,Non-London,Primary,596,8.4,LOW,4137,170,4307,1915,62,551,321,249,105,109,50,240,61,109,64,3837,2498,2588,2421,2466,-32,83,96,64,62,-21,224,242,225,249,25,46,42,56,50,4,3399,3716,3474,3837,438,96%,4%,,50%,2%,14%,8%,6%,3%,3%,1%,6%,2%,3%,2%,,73%,70%,70%,64%,-9%,2%,3%,2%,2%,0%,7%,7%,6%,6%,-1%,1%,1%,2%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108976,Non-London,Primary,420,9.7,LOW,4073,28,4101,2031,75,768,197,332,93,134,34,128,112,28,36,3967,2469,2526,2599,2799,330,93,175,112,75,-18,203,223,313,332,129,33,38,34,34,1,3300,3518,3559,3967,667,99%,1%,,51%,2%,19%,5%,8%,2%,3%,1%,3%,3%,1%,1%,,75%,72%,73%,71%,-4%,3%,5%,3%,2%,-1%,6%,6%,9%,8%,2%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108980,Non-London,Primary,210,22.4,MEDIUM,4780,214,4995,1624,211,634,600,474,160,354,36,218,27,132,48,4515,2675,2652,2955,2258,-417,143,232,231,211,68,356,341,461,474,118,42,73,64,36,-6,4106,4159,4778,4515,409,96%,4%,,36%,5%,14%,13%,10%,4%,8%,1%,5%,1%,3%,1%,,65%,64%,62%,50%,-15%,3%,6%,5%,5%,2%,9%,8%,10%,10%,1%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108983,Non-London,Primary,217,18.9,LOW,4735,89,4824,2033,170,1024,200,360,156,143,49,268,62,37,48,4550,3124,SUPP,2757,3057,-67,125,89,216,170,45,276,244,314,360,84,62,57,56,49,-13,4312,3494,4081,4550,238,98%,2%,,45%,4%,23%,4%,8%,3%,3%,1%,6%,1%,1%,1%,,72%,SUPP,68%,67%,-5%,3%,3%,5%,4%,1%,6%,7%,8%,8%,2%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,2730,174,147,149,140,275,277,307,333,52,60,59,51,4106,4202,4418,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108985,Non-London,Primary,175,34,MEDIUM,4697,6,4703,1888,303,942,362,467,155,169,62,185,37,130,80,4779,2939,2838,SUPP,2830,-109,214,242,250,303,89,561,488,558,467,-94,84,90,78,62,-22,5018,4802,5254,4779,-239,100%,0%,,40%,6%,20%,8%,10%,3%,4%,1%,4%,1%,3%,2%,,59%,59%,SUPP,59%,0%,4%,5%,5%,6%,2%,11%,10%,11%,10%,-1%,2%,2%,1%,1%,-1%,100%,100%,100%,100%,0%,3092,3142,3345,3266,214,232,222,122,327,333,426,390,71,80,73,60,4879,5094,5294,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108986,Non-London,Primary,204,15.7,LOW,4505,39,4545,2014,133,473,269,393,94,170,47,214,61,56,45,3969,2401,2359,2363,2487,86,276,221,178,133,-143,301,328,354,393,92,22,62,50,47,25,3760,3865,3856,3969,209,99%,1%,,51%,3%,12%,7%,10%,2%,4%,1%,5%,2%,1%,1%,,64%,61%,61%,63%,-1%,7%,6%,5%,3%,-4%,8%,8%,9%,10%,2%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108991,Non-London,Primary,270,1.9,LOW,3981,149,4130,1852,104,859,203,302,249,34,48,90,200,39,39,4020,2497,2637,2721,2711,214,95,100,90,104,9,271,243,280,302,31,39,50,46,48,9,3281,3605,3485,4020,739,96%,4%,,46%,3%,21%,5%,8%,6%,1%,1%,2%,5%,1%,1%,,76%,73%,78%,67%,-9%,3%,3%,3%,3%,0%,8%,7%,8%,8%,0%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108992,Non-London,Primary,185,42.7,HIGH,6686,27,6712,2862,210,1033,441,588,174,198,75,494,29,180,38,6322,3544,3719,3694,3895,351,262,220,173,210,-52,333,503,434,588,255,70,96,88,75,5,5448,5733,6080,6322,874,100%,0%,,45%,3%,16%,7%,9%,3%,3%,1%,8%,0%,3%,1%,,65%,65%,61%,62%,-3%,5%,4%,3%,3%,-2%,6%,9%,7%,9%,3%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,3092,3142,3345,3299,214,232,222,234,327,333,426,537,71,80,73,68,4879,5094,5294,5790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109110,Non-London,Primary,340,44.7,HIGH,5930,8,5938,2317,261,982,338,543,213,461,71,302,90,115,95,5790,2930,3016,SUPP,3299,369,189,277,242,261,72,454,493,480,543,89,79,101,88,71,-8,4877,5140,5169,5790,913,100%,0%,,40%,5%,17%,6%,9%,4%,8%,1%,5%,2%,2%,2%,,60%,59%,58%,57%,-3%,4%,5%,5%,5%,1%,9%,10%,9%,9%,0%,2%,2%,2%,1%,-1%,100%,100%,100%,100%,0%,3092,3142,3345,3299,214,232,222,234,327,333,426,537,71,80,73,68,4879,5094,5294,5790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109116,Non-London,Primary,751,2.3,LOW,3606,48,3653,1437,200,483,354,326,109,24,50,329,105,200,52,3671,1938,1886,SUPP,1920,-18,215,200,201,200,-15,275,229,263,326,51,43,46,37,50,7,3311,3110,2968,3671,360,99%,1%,,39%,5%,13%,10%,9%,3%,1%,1%,9%,3%,5%,1%,,59%,61%,63%,52%,-7%,6%,6%,7%,5%,-1%,8%,7%,9%,9%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2472,2531,2599,2730,141,158,133,140,274,267,330,333,49,59,52,51,3595,3746,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109118,Non-London,Primary,389,24.3,MEDIUM,5047,7,5054,2268,25,1025,251,316,162,176,57,148,44,31,54,4556,2764,2900,SUPP,3293,529,310,114,77,25,-285,298,279,297,316,18,54,82,62,57,3,4179,4067,4368,4556,377,100%,0%,,50%,1%,22%,6%,7%,4%,4%,1%,3%,1%,1%,1%,,66%,71%,73%,72%,6%,7%,3%,2%,1%,-6%,7%,7%,7%,7%,0%,1%,2%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,3266,174,147,149,122,275,277,307,390,52,60,59,60,4106,4202,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109124,Non-London,Primary,296,28,MEDIUM,5720,18,5738,2675,195,1160,347,206,208,268,89,430,161,51,22,5811,3366,3401,3016,3835,469,121,189,81,195,74,301,253,63,206,-95,94,88,103,89,-5,4796,4875,3957,5811,1015,100%,0%,,46%,3%,20%,6%,4%,4%,5%,2%,7%,3%,1%,0%,,70%,70%,SUPP,66%,-4%,3%,4%,2%,3%,0%,6%,5%,2%,4%,-2%,2%,2%,3%,2%,0%,100%,100%,100%,100%,0%,3092,3142,2955,3266,214,232,149,122,327,333,307,390,71,80,59,60,4879,5094,4418,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109130,Non-London,Primary,390,40.7,HIGH,5478,102,5580,1951,199,908,262,340,160,198,77,443,172,175,126,5012,2492,2493,SUPP,2859,367,144,178,215,199,55,278,258,309,340,62,70,73,47,77,7,4205,4178,4284,5012,807,98%,2%,,39%,4%,18%,5%,7%,3%,4%,2%,9%,3%,3%,3%,,59%,60%,62%,57%,-2%,3%,4%,5%,4%,1%,7%,6%,7%,7%,0%,2%,2%,1%,2%,0%,100%,100%,100%,100%,0%,3092,3142,3345,3299,214,232,222,234,327,333,426,537,71,80,73,68,4879,5094,5294,5790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109131,Non-London,Primary,658,29.7,MEDIUM,5135,161,5296,2264,89,1153,378,309,164,139,66,271,89,62,119,5105,2873,2936,SUPP,3417,544,112,72,52,89,-23,219,243,276,309,90,38,39,60,66,28,3937,3953,4720,5105,1168,97%,3%,,44%,2%,23%,7%,6%,3%,3%,1%,5%,2%,1%,2%,,73%,74%,71%,67%,-6%,3%,2%,1%,2%,-1%,6%,6%,6%,6%,0%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,3092,3142,3345,3266,214,232,222,122,327,333,426,390,71,80,73,60,4879,5094,5294,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109132,Non-London,Primary,409,13.4,LOW,5103,80,5183,1999,185,1033,259,310,166,208,52,376,64,25,53,4730,2575,2791,SUPP,3032,457,217,214,210,185,-32,253,250,272,310,57,46,59,54,52,6,4054,4202,4188,4730,676,98%,2%,,42%,4%,22%,5%,7%,4%,4%,1%,8%,1%,1%,1%,,64%,66%,68%,64%,0%,5%,5%,5%,4%,-1%,6%,6%,6%,7%,1%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2955,2730,174,147,149,140,275,277,307,333,52,60,59,51,4106,4202,4418,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109137,Non-London,Primary,315,36,HIGH,6916,54,6969,3260,267,1045,459,647,194,291,19,367,72,87,60,6766,3493,3496,SUPP,4305,812,173,262,232,267,94,287,357,510,647,360,73,79,84,19,-54,5089,5515,5771,6766,1677,99%,1%,,48%,4%,15%,7%,10%,3%,4%,0%,5%,1%,1%,1%,,69%,63%,66%,64%,-5%,3%,5%,4%,4%,1%,6%,6%,9%,10%,4%,1%,1%,1%,0%,-1%,100%,100%,100%,100%,0%,3092,3142,3345,3299,214,232,222,234,327,333,426,537,71,80,73,68,4879,5094,5294,5790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109139,Non-London,Primary,289,34.6,MEDIUM,5770,78,5848,2393,59,1048,717,219,206,217,23,252,53,20,90,5297,3399,3568,SUPP,3441,42,179,110,58,59,-120,210,270,233,219,9,141,146,88,23,-118,5064,5525,4899,5297,233,99%,1%,,45%,1%,20%,14%,4%,4%,4%,0%,5%,1%,0%,2%,,67%,65%,70%,65%,-2%,4%,2%,1%,1%,-3%,4%,5%,5%,4%,0%,3%,3%,2%,0%,-3%,100%,100%,100%,100%,0%,3092,3142,3345,3266,214,232,222,122,327,333,426,390,71,80,73,60,4879,5094,5294,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109140,Non-London,Primary,224,17.6,LOW,5262,40,5302,2245,191,925,509,381,114,164,57,247,86,30,56,5004,2910,3098,SUPP,3170,260,226,202,194,191,-35,222,223,218,381,159,55,65,58,57,2,4275,4666,4732,5004,729,99%,1%,,45%,4%,18%,10%,8%,2%,3%,1%,5%,2%,1%,1%,,68%,66%,SUPP,63%,-5%,5%,4%,4%,4%,-1%,5%,5%,5%,8%,3%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2599,2730,174,147,133,140,275,277,330,333,52,60,52,51,4106,4202,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109143,Non-London,Primary,415,10.6,LOW,4582,178,4760,2059,134,853,269,252,127,146,40,242,40,131,83,4377,2469,2490,SUPP,2912,443,131,131,110,134,3,284,308,322,252,-32,42,49,45,40,-2,3730,3933,4196,4377,647,96%,4%,,47%,3%,19%,6%,6%,3%,3%,1%,6%,1%,3%,2%,,66%,63%,67%,67%,1%,4%,3%,3%,3%,-1%,8%,8%,8%,6%,-2%,1%,1%,1%,1%,0%,100%,100%,100%,100%,0%,2750,2760,2599,2730,174,147,133,140,275,277,330,333,52,60,52,51,4106,4202,3879,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
