URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1112CAT1,T1213CAT1,T1314CAT1,T1415CAT1,DCAT1,T1112CAT2,T1213CAT2,T1314CAT2,T1415CAT2,DCAT2,T1112CAT3,T1213CAT3,T1314CAT3,T1415CAT3,DCAT3,T1112CAT4,T1213CAT4,T1314CAT4,T1415CAT4,DCAT4,T1112CAT5,T1213CAT5,T1314CAT5,T1415CAT5,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTOTALINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PTOTALEXPENDITURE,PT1112CAT1,PT1213CAT1,PT1314CAT1,PT1415CAT1,PDCAT1,PT1112CAT2,PT1213CAT2,PT1314CAT2,PT1415CAT2,PDCAT2,PT1112CAT3,PT1213CAT3,PT1314CAT3,PT1415CAT3,PDCAT3,PT1112CAT4,PT1213CAT4,PT1314CAT4,PT1415CAT4,PDCAT4,PT1112CAT5,PT1213CAT5,PT1314CAT5,PT1415CAT5,PDCAT5,T1112CAT1LA,T1213CAT1LA,T1314CAT1LA,T1415CAT1LA,T1112CAT2LA,T1213CAT2LA,T1314CAT2LA,T1415CAT2LA,T1112CAT3LA,T1213CAT3LA,T1314CAT3LA,T1415CAT3LA,T1112CAT4LA,T1213CAT4LA,T1314CAT4LA,T1415CAT4LA,T1112CAT5LA,T1213CAT5LA,T1314CAT5LA,T1415CAT5LA,PT1112CAT1LA,PT1213CAT1LA,PT1314CAT1LA,PT1415CAT1LA,PT1112CAT2LA,PT1213CAT2LA,PT1314CAT2LA,PT1415CAT2LA,PT1112CAT3LA,PT1213CAT3LA,PT1314CAT3LA,PT1415CAT3LA,PT1112CAT4LA,PT1213CAT4LA,PT1314CAT4LA,PT1415CAT4LA,PT1112CAT5LA,PT1213CAT5LA,PT1314CAT5LA,PT1415CAT5LA
PRI,Non-London,Primary,801,,HIGH,5961,45,6105,2453,234,982,441,537,202,198,68,367,76,175,56,5790,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC-WITH-KS4,Non-London,Secondary with KS4,801,,LOW,5506,157,5595,2981,168,525,380,447,39,79,98,310,32,33,164,5420,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPE,Non-London,Special,801,,LOW,44273,3932,48205,11186,189,17552,4246,2254,135,2826,701,1166,376,4179,379,45190,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPE,Non-London,Special,801,,MEDIUM,33374,2179,35553,15474,598,4625,2583,2643,78,9968,390,768,443,3205,212,40988,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPE,Non-London,Special,801,,HIGH,26798,433,27084,9665,174,8542,1925,1947,391,713,291,1947,273,421,233,28542,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATPRI,,Primary,,,,4567,134,4732,2119,132,776,307,366,150,156,61,201,68,79,89,4643,2801,2826,2866,2926,125,120,118,127,132,12,323,332,351,366,43,56,64,65,61,5,4207,4283,4431,4643,436,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATSEC-WITH-KS4,,Secondary with KS4,,,,5694,155,5894,3202,124,626,384,544,61,104,99,241,77,67,223,5944,3646,3694,3775,3825,,87,99,114,124,,488,504,531,544,,86,97,103,99,,5502,5671,5856,5944,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATSEC-WITHOUT-KS4,,Secondary without KS4,,,,4587,146,4801,2655,100,522,320,413,43,116,78,226,54,59,120,4865,3082,3141,3176,3146,,103,86,94,100,,346,366,381,413,,73,84,85,78,,4498,4668,4878,4865,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATSPE,,Special,,,,22209,486,23035,8190,363,7168,1432,1692,281,684,292,740,212,261,142,22631,15296,15310,15492,15580,284,366,391,399,363,-3,1516,1579,1624,1692,176,274,306,296,292,18,21730,21810,22334,22631,901,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON-PRI,London,Primary,,,LOW,4876,146,5080,2297,165,868,328,398,140,166,57,200,78,95,93,5002,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
